0:0:0:0:0:0:0:1 - - [13/May/2025:00:16:08 -0600] "GET /ControlSuministros/Departamento/1 HTTP/1.1" 200 106
192.168.0.8 - - [13/May/2025:01:10:06 -0600] "GET / HTTP/1.1" 200 11354
192.168.0.8 - - [13/May/2025:01:10:23 -0600] "GET /HNAP1/ HTTP/1.1" 404 697
192.168.0.8 - - [13/May/2025:01:10:25 -0600] "GET / HTTP/1.1" 200 11354
192.168.0.8 - - [13/May/2025:01:10:26 -0600] "GET /loginMsg.js HTTP/1.1" 404 698
192.168.0.8 - - [13/May/2025:01:10:26 -0600] "GET /cgi/get.cgi?cmd=home_login HTTP/1.1" 404 702
192.168.0.8 - - [13/May/2025:01:10:28 -0600] "POST /boaform/admin/formTracert HTTP/1.1" 404 720
127.0.0.1 - - [13/May/2025:06:48:49 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [13/May/2025:06:48:49 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [13/May/2025:06:48:49 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [13/May/2025:06:48:50 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [13/May/2025:06:48:51 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [13/May/2025:06:48:52 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [13/May/2025:06:48:53 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [13/May/2025:06:48:54 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [13/May/2025:06:48:55 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [13/May/2025:06:48:56 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [13/May/2025:06:48:57 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [13/May/2025:06:48:58 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [13/May/2025:06:48:59 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [13/May/2025:06:49:00 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [13/May/2025:06:49:01 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [13/May/2025:06:49:02 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
